grupo_edad,nacionalidad,anio,poblacion
De 15 a 19 anios,Apatridas,1 de enero de 2010,16
De 15 a 19 anios,Apatridas,1 de julio de 2009,14
De 15 a 19 anios,Apatridas,1 de enero de 2009,14
De 15 a 19 anios,Apatridas,1 de julio de 2008,15
De 15 a 19 anios,Apatridas,1 de enero de 2008,15
De 15 a 19 anios,Apatridas,1 de julio de 2007,16
De 15 a 19 anios,Apatridas,1 de enero de 2007,17
De 15 a 19 anios,Apatridas,1 de julio de 2006,18
De 15 a 19 anios,Apatridas,1 de enero de 2006,20
De 15 a 19 anios,Apatridas,1 de julio de 2005,18
De 15 a 19 anios,Apatridas,1 de enero de 2005,14
De 15 a 19 anios,Apatridas,1 de julio de 2004,13
De 15 a 19 anios,Apatridas,1 de enero de 2004,12
De 15 a 19 anios,Apatridas,1 de julio de 2003,13
De 15 a 19 anios,Apatridas,1 de enero de 2003,13
De 15 a 19 anios,Apatridas,1 de julio de 2002,12
De 15 a 19 anios,Apatridas,1 de enero de 2002,10
De 20 a 24 anios,Espaniola,1 de julio de 2022,1.012.465
